,t,x,y,z,r,phi,theta
131,6965.0,-98.21837558513477,3.4789441039646927,-91.15326048637158,111.0,6.0,2.0
132,6995.0,20.918598137085237,-50.345411620589225,-50.56496762754121,194.0,6.0,4.0
133,7026.0,70.17090341574341,75.65713165658286,-95.70626001817496,104.0,6.0,6.0
134,7057.0,-97.3181619943831,32.09809965853963,-95.0440325931789,105.0,6.0,8.0
135,7088.0,11.390742637605042,-102.55831628321008,-95.70626001817496,104.0,6.0,10.0
136,7119.0,88.51579158133534,53.036891852866994,-95.70626001817496,104.0,6.0,12.0
137,7150.0,-77.13772066605627,52.97415142925735,-86.79050008854601,118.0,6.0,14.0
138,7181.0,-15.512842187305472,-88.99752527684963,-83.78849952056045,123.0,6.0,16.0
139,7212.0,93.74135065074253,24.59935940125718,-89.88752031273098,113.0,6.0,18.0
140,7242.0,-60.9501118739259,74.47859371590002,-89.26044471392004,114.0,6.0,20.0
141,7274.0,-51.05270533158491,-104.15168467589696,-107.58014740771333,87.0,6.0,22.0
142,7305.0,102.43880979190725,-2.7208278284342704,-95.0440325931789,105.0,6.0,24.0
143,7335.0,-32.98146501907046,77.43587265739326,-78.06372556335242,133.0,6.0,26.0
144,7366.0,-67.12267593377342,-73.66779320729597,-92.43453038523485,109.0,6.0,28.0
145,7397.0,92.30335989843377,-29.54080324293668,-89.88752031273098,113.0,6.0,30.0
146,7428.0,-11.713020046441804,97.5794933172578,-91.15326048637158,111.0,6.0,32.0
147,7459.0,-85.62784438628849,-52.34204824991235,-93.08101814057417,108.0,6.0,34.0
148,7490.0,84.98347264346594,-57.26187242058898,-95.0440325931789,105.0,6.0,36.0
149,7521.0,17.897822825948005,108.34039662443034,-101.84608990905122,95.0,6.0,38.0
150,7552.0,-97.51917991293566,-26.51552469983426,-93.73142331795819,107.0,6.0,40.0
151,7582.0,56.21923194660194,-67.47023184619044,-81.45433347794328,127.0,6.0,42.0
152,7613.0,44.90640728234695,93.7023170693929,-96.37245151953437,103.0,6.0,44.0
153,7645.0,-92.2547646799537,1.6333428656845022,-85.57837914766553,120.0,6.0,46.0
154,7675.0,34.14668212691106,-78.24329740718372,-79.17930045982122,131.0,6.0,48.0
155,7706.0,81.12376699336077,90.6326837377738,-112.81576736033068,80.0,6.0,50.0
156,7737.0,-71.72524450998726,22.257036308663363,-69.65340835368443,149.0,6.0,52.0
157,7768.0,10.770325581414037,-83.47509506365675,-78.06372556335242,133.0,6.0,54.0
158,7798.0,81.66569548020162,50.91847642140486,-89.26044471392004,114.0,6.0,56.0
159,7830.0,-73.26378397484177,48.42780382933172,-81.45433347794328,127.0,6.0,58.0
160,7861.0,-13.451277349387016,-86.1598864407701,-80.88006066131551,128.0,6.0,60.0
161,7891.0,86.96123952007491,24.47346725055304,-83.78849952056045,123.0,6.0,62.0
162,7922.0,-54.4492875023746,64.18229116742364,-78.06372556335242,133.0,6.0,64.0
163,7953.0,-35.449283351090976,-75.680557962845,-77.51138269573725,134.0,6.0,66.0
164,7984.0,93.57244592388768,-0.828271106297373,-86.79050008854601,118.0,6.0,68.0
165,8015.0,-29.996555835253016,67.10712317588484,-68.17593196438955,152.0,6.0,70.0
