,t,x,y,z,r,theta,phi
142,29523.0,-0.0,0.0,51.36780413012676,51.36780413012676,142.0,0.0
143,29725.0,-0.0,0.0,39.908618228657076,39.908618228657076,143.0,0.0
144,29926.0,-0.0,0.0,49.57625542107792,49.57625542107792,144.0,0.0
145,30127.0,-0.0,0.0,40.0759848280569,40.0759848280569,145.0,0.0
146,30328.0,-0.0,0.0,56.74055962397401,56.74055962397401,146.0,0.0
147,30529.0,-0.0,0.0,54.28073391096629,54.28073391096629,147.0,0.0
148,30730.0,-0.0,0.0,61.78121452676001,61.78121452676001,148.0,0.0
149,30931.0,-0.0,0.0,59.76810790648457,59.76810790648457,149.0,0.0
150,31132.0,-0.0,0.0,63.03481212734786,63.03481212734786,150.0,0.0
151,31333.0,-0.0,0.0,78.1146290200353,78.1146290200353,151.0,0.0
152,31535.0,-0.0,0.0,64.32327595635627,64.32327595635627,152.0,0.0
153,31735.0,-0.0,0.0,75.4094064521936,75.4094064521936,153.0,0.0
154,31936.0,-0.0,0.0,86.28205771046453,86.28205771046453,154.0,0.0
155,32138.0,-0.0,0.0,70.81072321808298,70.81072321808298,155.0,0.0
156,32338.0,-0.0,0.0,89.41723043620036,89.41723043620036,156.0,0.0
157,32539.0,-0.0,0.0,58.22498812830838,58.22498812830838,157.0,0.0
158,32741.0,-0.0,0.0,62.19523495445995,62.19523495445995,158.0,0.0
159,32942.0,-0.0,0.0,64.76059199152778,64.76059199152778,159.0,0.0
160,33142.0,-0.0,0.0,70.81072321808298,70.81072321808298,160.0,0.0
161,33344.0,-0.0,0.0,104.64614552622234,104.64614552622234,161.0,0.0
162,33545.0,-0.0,0.0,95.36007363762198,95.36007363762198,162.0,0.0
163,33745.0,-0.0,0.0,92.01043472061866,92.01043472061866,163.0,0.0
164,33947.0,-0.0,0.0,85.66902933198483,85.66902933198483,164.0,0.0
165,34148.0,-0.0,0.0,85.66902933198483,85.66902933198483,165.0,0.0
166,34349.0,-0.0,0.0,82.67297492775126,82.67297492775126,166.0,0.0
167,34550.0,-0.0,0.0,91.35497620060667,91.35497620060667,167.0,0.0
168,34751.0,-0.0,0.0,68.40249578111604,68.40249578111604,168.0,0.0
169,34952.0,-0.0,0.0,55.665094052561045,55.665094052561045,169.0,0.0
170,35153.0,-0.0,0.0,60.96462423019625,60.96462423019625,170.0,0.0
171,35354.0,-0.0,0.0,73.32309077497675,73.32309077497675,171.0,0.0
